area,bedrooms,price
3344,4,38.26
3084,4,164.96
1393,4,48.75
2210,3,100.75
3345,2,141.0
3515,2,114.13
1717,5,129.82
1690,4,82.22
2101,3,117.95
2078,1,149.39
3922,5,66.77
1352,2,89.13
2458,2,57.59
1699,2,63.08
3814,1,60.89
1131,3,130.22
2794,5,52.12
2576,1,168.43
3499,2,101.56
2188,1,31.49
2644,4,155.32
1862,1,167.0
2390,3,102.2
2933,4,83.65
3036,2,167.01
1244,3,143.4
3802,2,120.05
3020,3,91.69
3879,5,75.09
2253,1,103.79
1702,1,126.32
1674,1,111.51
2398,5,142.71
800,1,117.58
3095,1,114.66
2935,2,39.47
2359,1,38.69
2460,4,145.71
3168,3,37.14
3410,2,113.05
1366,4,82.25
3433,5,41.83
3727,3,48.04
1191,5,50.51
3293,5,165.72
1923,3,136.17
3102,5,145.72
1884,4,36.19
2497,2,147.73
1114,2,99.56
2520,2,45.16
1670,3,146.21
1858,3,109.86
830,1,32.13
3289,3,106.9
2274,1,44.04
2523,2,72.28
3332,1,160.56
2264,2,55.43
1100,1,127.28
1507,2,63.17
2259,4,86.45
1140,5,82.23
3753,5,157.7
3267,4,55.16
3807,4,143.06
1420,4,51.9
2660,1,71.28
2933,1,83.81
1968,5,70.47
3640,4,106.81
2889,4,61.86
2160,2,79.62
2391,2,117.59
952,3,162.65
1969,2,126.64
1742,4,87.37
3902,2,89.37
1710,2,71.7
1897,1,86.53
3287,5,32.16
3576,3,33.91
2421,2,69.7
1681,4,101.71
3621,2,138.87
3971,4,37.14
1140,1,68.32
3860,4,99.84
1847,2,82.17
1099,1,58.28
3727,1,91.25
2834,1,46.88
1065,3,54.08
1229,2,107.82
2468,3,152.23
1064,1,61.77
2624,3,157.93
1207,5,158.47
1164,2,131.94
1727,3,34.01
3284,4,60.18
3633,2,117.1
1580,2,93.51
1471,4,121.82
2491,1,118.96
1205,3,46.38
1143,1,78.57
2655,1,91.23
1849,1,45.37
3199,1,98.38
3590,3,118.93
2013,2,95.06
1355,5,58.26
3295,4,47.03
2784,4,163.08
1145,3,55.17
3111,2,138.02
1663,3,153.95
1030,4,141.68
2149,3,78.49
833,1,84.07
1691,4,100.87
1792,1,64.03
3653,4,46.74
2428,3,168.48
3409,5,142.48
1384,3,44.16
3864,4,148.12
3023,1,124.29
857,4,128.0
1619,1,112.36
813,2,122.73
1992,2,44.72
2711,4,69.05
2467,1,127.2
1256,3,132.83
1806,2,62.76
3308,2,66.2
1237,2,96.56
1141,1,162.2
2542,3,65.47
2530,4,106.74
983,1,145.21
2410,3,50.52
2311,3,106.27
3081,1,147.17
2004,2,83.29
1551,2,86.38
3337,2,72.43
2416,3,53.97
1799,1,164.2
3424,3,106.19
2523,4,138.03
3332,2,157.35
1137,1,120.17
1926,2,81.35
1305,5,127.61
2049,4,47.65
3560,2,63.98
2405,2,71.09
3395,5,47.23
1367,5,134.45
2007,1,65.97
1923,1,159.88
3522,5,102.17
1299,5,142.75
2572,4,61.33
2110,4,90.12
1457,1,161.24
3596,5,99.05
2882,3,51.8
3106,2,51.71
2139,1,140.05
1672,3,151.4
2263,5,140.72
1665,3,163.53
2292,5,143.36
3985,1,98.14
1549,1,124.43
2648,1,95.0
2740,1,121.09
3124,4,123.69
3349,2,88.81
3878,4,141.21
3880,1,165.67
3221,5,141.3
2961,3,99.53
957,1,118.67
2535,2,105.76
1004,3,50.01
3914,2,34.67
2065,2,169.54
2141,1,43.65
3047,1,72.21
1017,3,93.74
3874,3,112.42
1562,1,152.01
1701,5,103.25
3068,1,67.27
3619,2,51.5
2090,3,104.7
2059,1,90.61
883,1,62.22
3771,5,162.86
3972,4,101.63
3663,2,55.07
916,5,40.42
3409,1,120.31
2487,4,167.65
3471,2,144.86
1694,1,98.91
1589,2,108.03
1054,5,64.29
2334,5,123.9
3957,5,32.1
1585,5,63.28
2783,4,62.5
2760,1,128.14
1270,5,145.59
1294,4,66.99
1065,5,62.01
2871,2,75.91
3131,5,49.09
933,4,51.17
3166,3,168.58
1261,5,122.4
1694,1,104.78
2704,2,46.69
3797,1,39.71
3725,1,86.54
3170,1,128.81
3032,4,94.98
2275,1,122.36
2438,3,102.78
2808,5,109.94
1061,5,140.41
3548,3,110.87
1997,5,92.85
3610,1,65.2
991,3,167.67
3881,1,141.38
2012,5,78.95
1887,1,60.25
3311,5,68.55
3121,1,163.91
3874,1,86.77
3679,2,32.31
1634,2,86.03
1123,5,98.43
3870,5,156.05
862,2,48.33
3100,5,151.19
3089,2,105.55
1558,3,137.27
1573,2,158.73
1838,3,58.83
1937,5,96.55
2717,1,80.0
1127,5,114.21
2757,1,154.09
1388,2,37.48
1595,2,54.22
3464,5,64.11
2826,4,63.45
1667,2,164.48
868,3,50.34
981,5,158.86
3098,3,149.63
3451,4,169.13
1738,2,100.21
3577,2,74.18
2852,1,59.31
2998,4,169.44
1037,5,151.97
1501,2,81.33
1729,2,93.02
3544,4,106.31
3788,5,112.12
2205,2,35.45
1822,4,167.46
3994,3,159.55
1900,4,122.87
1498,5,132.23
3675,5,70.3
3740,4,51.0
2976,1,125.88
966,2,157.86
3076,1,65.6
1273,3,82.92
1800,4,76.69
1641,3,54.87
2037,1,53.45
1688,1,36.97
3188,4,107.64
1207,4,124.21
3199,4,44.59
1200,4,51.95
2047,2,164.35
3667,3,38.0
2180,4,44.11
2348,4,89.73
2446,4,141.32
3140,5,84.4
1991,2,96.22
1185,3,145.31
3646,4,151.28
3249,4,136.98
1258,5,105.53
1115,4,148.16
1734,4,111.72
1459,4,71.15
1971,1,130.72
2647,1,45.08
3604,4,61.85
3341,4,61.09
3972,3,51.24
924,2,120.56
2208,1,67.7
961,4,152.46
2547,2,39.64
1258,3,78.76
2148,5,164.75
3944,3,140.09
3716,5,36.04
3398,3,167.18
3722,5,165.79
870,2,164.23
3709,4,149.32
902,2,69.3
2278,1,151.2
1341,4,96.38
847,1,67.13
1407,1,83.77
1681,4,73.47
1207,1,66.86
2893,2,93.88
1293,5,40.42
2555,4,149.41
2298,4,39.22
1757,2,119.67
1156,4,54.89
2530,1,154.63
2856,5,165.66
3636,2,103.72
2290,2,48.89
2514,5,112.78
1686,5,41.73
2698,5,120.13
2198,2,146.79
1591,4,93.01
3426,5,133.78
2277,4,140.05
3621,3,77.64
1437,1,70.48
834,4,35.33
1312,2,154.14
2036,5,128.66
2918,1,113.96
1270,3,40.0
2542,3,80.77
2093,4,148.18
1273,1,83.97
3967,2,117.58
2848,1,144.92
2362,5,98.98
1287,1,137.82
3020,3,156.85
3546,1,105.71
2480,1,123.65
1516,4,92.89
1166,4,75.16
3515,5,46.45
2612,3,92.7
3929,1,72.77
886,3,122.86
1833,5,67.46
2059,1,157.81
3066,2,79.48
1679,4,52.8
2578,5,97.69
2384,5,77.16
3320,1,104.45
1278,1,61.63
2651,4,93.57
1495,5,48.5
1247,4,126.04
1215,1,97.45
2730,4,32.34
3662,2,168.73
1242,4,157.33
3536,4,58.38
2783,2,54.26
3661,4,43.89
904,1,87.93
3223,5,119.9
963,1,98.93
1282,5,120.42
1045,2,155.12
2224,2,40.38
2087,5,89.71
2014,3,51.38
2516,1,130.78
3149,1,151.61
2471,1,123.03
2888,4,111.68
1519,1,137.82
940,3,163.4
900,4,32.98
3849,4,126.04
1549,2,61.2
3994,2,46.41
3913,4,135.86
1891,2,128.77
1243,3,115.87
2205,1,169.01
3242,1,169.06
1495,2,57.46
3497,4,104.6
3204,5,121.24
3524,2,62.08
1391,4,142.02
3358,4,113.52
1999,2,151.08
2894,1,168.68
2423,2,102.03
1009,2,42.09
2402,1,85.65
2891,1,144.82
3194,3,46.9
2220,1,64.43
1974,4,156.6
2510,4,112.08
2626,3,141.76
2309,5,163.93
1610,3,106.62
3876,1,123.7
1002,1,148.07
3400,1,125.81
880,4,163.34
1093,2,44.55
877,2,64.61
1182,1,109.19
1994,5,60.88
3113,2,137.63
2908,5,163.06
2480,3,139.67
1373,4,95.91
3334,2,107.98
1161,2,85.88
2342,1,122.94
2409,1,140.33
2843,2,101.84
2424,4,79.88
1321,4,41.43
1791,3,95.16
1700,4,61.84
979,1,60.13
2123,1,52.56
1454,1,137.24
3290,5,113.87
3398,3,93.0
1732,1,58.88
3285,1,58.63
3623,1,49.66
1161,3,127.05
1804,5,116.21
1387,3,56.39
1062,5,138.3
1806,1,74.25
2546,3,36.55
2906,2,112.1
3385,4,70.4
2535,5,67.69
3277,3,36.87
2800,1,106.27
1525,1,98.16
3760,3,162.15
2309,2,78.44
2040,2,132.77
3799,5,120.82
3091,2,73.78
1425,2,170.0
3844,2,94.59
3499,1,107.04
2032,3,36.47
1777,1,100.07
3513,4,157.1
1524,1,42.08
3666,4,98.53
1811,1,166.4
2061,3,53.16
1338,3,143.56
1365,1,65.62
3938,4,64.53
3353,5,43.21
1890,2,150.39
1535,3,59.22
1822,1,158.0
1086,3,129.88
2391,2,154.73
1641,3,151.31
2421,3,133.22
2368,1,124.06
3815,2,153.91
1585,1,105.28
2004,2,154.04
2797,2,42.02
3152,4,31.78
854,1,82.43
2427,1,115.97
1182,1,60.35
820,5,55.24
1614,5,147.87
3060,2,68.19
3862,1,30.09
3460,5,91.91
2382,5,134.87
1468,4,167.4
3062,1,31.87
3212,5,37.31
3613,2,70.55
3867,1,147.08
3774,5,73.03
2874,5,154.38
1587,2,138.48
2642,3,145.87
3026,3,151.63
1738,5,97.25
2252,1,138.39
911,4,159.85
1098,5,77.08
3618,3,132.83
2212,1,69.31
1600,3,109.65
1864,4,90.11
2964,5,134.63
1977,3,49.47
2045,5,122.97
1881,2,155.68
2066,5,86.23
1308,3,128.48
2417,2,127.84
1664,5,50.71
1940,1,121.01
3662,1,162.37
3361,3,61.06
1024,3,45.68
1940,1,140.32
3101,5,34.04
3165,3,119.4
2480,5,112.26
1717,3,117.81
1943,2,94.44
2065,3,93.4
3742,3,63.56
1888,1,46.47
3500,2,95.92
3966,3,102.36
2507,3,92.93
1688,4,85.46
2956,3,99.36
2364,3,149.34
2626,3,145.44
2830,2,84.98
917,1,125.26
3038,4,136.59
1928,5,50.58
871,1,62.14
3599,5,53.45
3963,2,160.69
1698,2,70.26
3479,2,90.92
3969,3,30.03
1370,5,51.94
1715,3,74.49
1361,5,154.31
3830,1,37.83
2446,5,72.88
2777,3,70.99
2564,4,46.7
2590,5,103.09
3414,3,31.99
3807,1,148.14
1306,4,127.7
3667,3,136.16
1937,2,160.9
2204,3,82.56
3374,4,45.7
1422,3,45.47
3304,5,150.08
1448,1,132.69
2067,3,50.74
822,2,157.1
1230,2,169.96
919,4,147.56
2494,1,37.06
3837,1,155.12
3119,1,66.08
2551,1,62.36
1315,3,59.79
3478,2,117.49
2188,3,104.23
1719,5,35.02
3542,4,132.25
2441,3,48.23
3050,4,148.62
2832,5,80.24
3688,1,139.71
2726,4,118.19
1716,3,60.18
3417,1,135.47
2984,4,142.35
2990,3,134.55
2766,2,131.97
830,3,151.96
3162,3,139.5
1540,4,36.38
1176,1,159.83
1980,5,67.68
2927,5,96.69
3659,2,74.81
1519,5,52.06
3568,5,53.96
2867,2,46.8
3773,4,80.33
3524,4,154.17
935,4,95.07
1785,5,148.73
1197,3,93.91
2949,4,30.83
2679,5,34.88
2024,2,41.49
1683,5,152.77
2733,2,111.92
3266,4,101.85
3147,3,94.24
3787,5,44.32
2818,5,98.74
2745,4,82.22
1161,5,145.2
2940,1,112.2
913,2,53.11
1688,5,136.73
1205,2,149.05
2612,3,69.53
1832,1,89.06
2394,4,149.17
2024,5,91.67
1830,2,161.27
1956,2,153.54
898,4,67.99
3427,5,143.71
2328,5,30.02
1334,5,46.72
2232,2,87.07
3024,1,91.2
2957,4,120.07
2648,5,107.26
2341,1,145.32
2363,3,36.37
2119,5,141.49
2477,5,156.82
2939,1,72.13
3528,3,110.2
3850,2,96.32
2170,5,127.24
3714,1,125.59
3256,2,111.11
3061,5,56.37
3472,4,43.23
1065,4,65.27
1486,2,118.11
1320,1,94.09
3431,3,40.64
2614,3,53.25
2782,1,81.21
1087,3,121.88
1626,5,39.28
1782,5,59.87
1846,4,160.27
2292,4,114.85
1035,4,165.66
3482,4,41.9
3188,3,71.88
3926,1,62.41
3740,2,79.19
1527,5,167.19
1430,4,129.82
2836,4,86.89
1434,3,152.09
1783,5,70.9
1813,4,121.12
3702,4,51.29
1631,5,94.27
3515,5,74.9
1425,2,33.56
2974,5,58.12
3747,1,105.15
3659,2,69.1
1938,1,162.67
2254,5,58.17
3534,1,128.84
3212,1,51.63
1635,4,65.36
3841,2,129.89
1085,5,168.75
3699,4,50.52
1080,1,95.37
3610,2,118.11
1683,3,46.88
1623,5,113.58
2442,1,80.88
1925,3,127.42
1321,5,101.12
1488,4,69.04
3382,4,157.72
2698,3,116.63
2722,1,76.09
958,1,97.61
2439,3,70.71
1738,5,38.03
1936,2,44.12
1064,3,96.21
842,2,114.65
3355,1,153.0
1357,4,151.44
820,2,77.0
3460,4,161.86
3182,5,158.65
2837,2,34.73
2378,1,49.82
2559,4,87.08
2168,1,131.78
3511,2,118.14
1597,2,101.21
2550,4,108.8
3775,4,95.2
2787,3,138.38
1740,2,154.44
3945,3,132.74
1829,1,39.47
3099,1,63.42
3256,4,70.58
3274,4,87.33
1214,5,90.93
997,2,131.04
2903,2,97.61
2835,4,137.66
3709,4,48.89
3212,5,122.86
3186,5,43.94
3413,2,94.93
3018,3,140.49
2898,3,167.09
3047,5,117.25
2842,2,117.97
3474,4,126.94
2059,2,159.35
3567,2,34.64
3808,4,76.31
1413,1,76.25
2705,2,39.88
3078,4,137.77
2475,2,113.22
898,2,106.36
3863,5,131.52
3390,2,58.56
3314,2,40.02
1348,2,129.56
3749,3,51.54
2052,2,34.79
1663,4,32.78
1350,3,79.56
3906,1,62.62
2544,2,85.3
1994,2,150.06
2907,2,139.85
3362,5,81.94
3660,1,164.95
1433,4,152.17
3423,2,98.41
846,3,166.57
811,4,74.91
2381,2,128.05
2348,4,35.94
2736,3,30.97
1663,1,65.12
2036,1,42.12
2479,1,150.88
913,3,103.42
2362,5,35.59
1851,3,165.03
2704,1,56.11
3630,2,112.76
2323,4,58.5
2505,3,37.12
3859,5,104.83
1993,1,161.74
2700,5,70.59
2547,5,98.37
1220,4,62.37
1657,5,149.36
1737,4,159.1
2438,3,112.32
2320,2,160.26
2981,1,104.01
3493,4,118.67
2064,2,106.94
3977,2,112.6
1978,4,49.96
813,3,48.53
3260,3,109.33
1978,2,160.26
1688,4,128.35
1935,2,130.4
3532,3,32.84
1130,4,99.92
1309,1,140.03
2789,3,158.54
3248,3,53.96
2771,2,74.73
3040,2,119.35
3961,5,168.64
2911,4,119.83
1093,5,153.19
3932,5,43.31
1497,5,71.34
1306,1,168.3
3545,2,151.34
2536,4,48.21
3803,2,46.26
1074,3,32.85
1236,3,95.55
1290,5,34.05
866,5,78.85
3879,5,102.58
3152,5,76.67
1791,3,121.48
2983,4,42.42
1206,1,159.19
3093,3,50.3
1670,5,66.16
2238,2,35.23
3620,2,126.55
1167,2,130.85
3600,4,138.75
2723,5,103.07
2986,1,104.87
2944,1,140.58
3666,4,148.72
832,4,89.43
1942,2,90.61
2284,5,68.31
3001,5,87.64
3536,4,40.52
3696,3,94.39
3043,4,116.72
2657,2,115.72
2970,4,70.98
2821,4,89.03
1810,3,135.24
802,1,160.41
2797,5,57.2
857,4,46.98
2894,5,153.56
1989,1,90.53
2005,1,109.39
1675,5,59.95
855,4,121.76
2205,3,168.52
3102,3,56.61
985,1,94.69
3984,5,104.21
3239,5,56.45
3482,2,73.14
3329,4,88.99
1441,5,72.2
2954,3,59.87
2707,2,74.35
1266,1,142.31
3171,5,43.88
1361,3,57.98
1787,1,128.71
1625,4,76.27
2604,3,106.56
3303,2,136.22
3394,1,30.67
2620,4,104.29
1332,3,61.99
1755,5,36.29
3211,2,45.67
1319,1,31.67
3457,3,78.21
1826,5,81.12
1844,1,34.8
1926,4,158.83
2354,1,167.61
3782,1,57.13
3853,5,105.35
3280,1,90.85
1790,4,94.94
1383,5,35.21
3322,2,64.8
1230,1,156.07
2567,5,133.78
1527,1,169.83
3084,3,30.22
1389,2,97.97
2407,4,54.05
818,1,71.89
1362,3,104.75
3169,1,130.0
1280,3,149.56
1082,4,129.79
2521,3,159.14
3717,4,51.32
3775,1,69.46
2721,4,127.18
3047,1,131.74
1304,5,152.71
2785,5,131.34
3442,5,97.38
3541,4,67.12
1947,4,105.1
1850,1,31.66
1706,1,151.54
3476,3,138.59
3427,4,150.03
1132,2,120.07
3136,1,35.52
1588,3,105.21
1517,1,38.42
3388,4,99.11
3831,1,160.38
1067,3,46.62
2267,5,72.64
1153,4,65.27
3436,1,31.45
1555,3,127.82
2287,5,88.6
2256,4,118.5
1615,2,55.62
2459,1,125.49
1331,1,99.67
1232,2,153.87
2175,2,48.42
2576,5,35.48
2712,1,140.32
3296,4,50.28
2054,2,115.07
3709,5,78.37
3634,3,118.75
3469,3,101.08
1043,2,169.42
1312,2,162.76
1234,3,151.73
1964,3,162.82
1981,5,155.77
924,5,110.64
1344,3,91.95
1537,4,163.92
1577,5,98.92
2352,5,91.89
861,2,97.06
1139,5,80.73
1394,2,67.12
3276,5,165.94
2971,4,86.35
1279,2,166.81
3308,5,66.38
2897,5,140.68
1526,1,162.68
3673,3,115.45
3280,5,55.8
825,1,72.5
2133,5,153.25
3100,2,154.92
3097,3,107.71
1234,1,116.99
2054,2,145.26
873,3,122.59
1157,3,76.02
2552,4,60.84
1486,5,77.31
3182,2,108.53
2622,4,135.58
3503,5,43.63
2182,1,114.33
3357,1,89.49
3233,2,101.48
2492,1,31.22
1105,4,151.66
3070,2,47.27
3536,4,46.37
978,4,94.14
2156,2,113.16
2591,3,73.27
1241,3,117.79
2423,2,56.33
3505,1,162.96
1406,2,159.8
1422,4,144.41
1742,2,51.3
1072,4,60.53
3801,1,51.29
2502,2,51.32
3721,4,55.8
3671,4,88.14
3200,2,67.22
1900,5,71.33
3713,4,69.87
1836,4,69.25
1660,2,164.82
1053,3,130.36
1357,1,146.77
3768,4,122.05
2854,5,39.3
2970,4,154.52
1453,3,42.48
3759,4,98.96
1705,3,51.07
1113,2,139.14
1744,1,156.25
3346,3,37.58
1478,1,71.64
1565,3,112.11
1645,5,111.32
2383,5,61.89
2591,3,138.18
2172,5,142.06
1983,4,30.82
2835,4,90.04
2549,4,145.9
3215,5,155.84
2632,2,136.33
1272,4,147.25
3507,3,85.82
3735,3,34.75
3481,5,110.86
3102,5,136.03
2682,3,154.8
3449,5,168.78
1391,2,42.46
1659,2,56.37
1778,1,57.13
2176,3,92.93
3757,5,136.03
3732,3,49.85
2462,2,151.61
3467,5,35.0
1744,5,134.69
3381,3,126.52
3808,5,48.65
2160,3,60.76
2547,3,130.13
1553,2,71.05
3855,4,158.09
1531,2,142.46
2465,4,123.17
3148,5,160.22
955,3,69.02
3727,2,122.16
1827,3,77.35
1108,1,79.52
2988,2,67.67
3211,2,129.97
3478,2,95.32
3072,5,143.97
2721,5,124.9
2227,4,165.4
2991,1,139.01
3975,5,126.95
1836,3,77.96
2664,2,93.15
1820,5,158.22
